,id,price,latitude,longitude,accommodates,bathrooms,bedrooms,is_location_exact,number_of_reviews,review_scores_rating,reviews_per_month
0,958,170.0,37.76931037734077,-122.43385634489,3,1.0,1.0,t,176,97.0,1.53
1,5858,235.0,37.745112331410034,-122.42101788836888,5,1.0,2.0,t,111,98.0,0.94
2,8567,255.0,37.784707454960724,-122.44555431261593,6,1.0,2.0,t,31,90.0,0.27
3,10251,265.0,37.75874294929672,-122.4132720164374,6,1.0,2.0,t,310,96.0,2.73
4,10578,120.0,37.791427463689935,-122.4154356795158,2,1.0,0.0,t,18,99.0,0.21
5,10819,218.0,37.80060135801387,-122.425045381335,4,2.0,3.0,t,22,88.0,0.31
6,10820,177.0,37.771873721790115,-122.43859113023431,3,1.0,3.0,t,37,89.0,0.33
7,10824,194.0,37.77355001557393,-122.42436191545026,5,2.0,3.0,t,14,91.0,0.17
8,10832,139.0,37.78573889680189,-122.40797710199776,2,1.5,1.0,t,19,92.0,0.26
9,14125,215.0,37.754906698626314,-122.42245501922535,3,1.0,1.0,t,97,98.0,0.89
10,18231,107.0,37.74888370930066,-122.42982374746445,3,1.0,0.0,t,61,96.0,0.58
11,24390,95.0,37.751455556926935,-122.41247816738357,2,1.0,1.0,t,66,95.0,0.67
12,24450,180.0,37.748848181981714,-122.4367259832525,3,1.0,1.0,t,215,92.0,2.03
13,26408,393.0,37.774778481770866,-122.43149873605402,10,2.0,4.0,t,30,90.0,0.33
14,27025,175.0,37.76297967565378,-122.43136441227804,2,1.0,1.0,t,129,100.0,1.22
15,29557,155.0,37.77930831937839,-122.50518320762501,4,1.0,1.0,t,34,99.0,0.33
16,32414,150.0,37.740254505653716,-122.41259087293636,2,1.0,1.0,t,93,96.0,0.9
17,39418,100.0,37.74092694679287,-122.42054856183594,2,1.0,0.0,t,21,98.0,0.23
18,40092,108.0,37.76016368956081,-122.41969302856536,2,1.0,1.0,t,96,92.0,0.95
19,41399,290.0,37.75610669111234,-122.41866188454807,4,1.0,2.0,t,71,96.0,0.94
20,42403,85.0,37.73355829915958,-122.4185132377998,2,1.0,0.0,t,6,93.0,0.07
21,44032,95.0,37.751450243931615,-122.41206984700956,2,1.0,1.0,t,279,97.0,2.73
22,44680,175.0,37.751208534907924,-122.4216450325051,4,1.0,1.0,t,3,100.0,0.03
23,45299,116.0,37.76068103780288,-122.43330627768971,2,1.0,0.0,t,120,94.0,1.17
24,47682,120.0,37.79250377189508,-122.42431221967043,2,1.0,1.0,t,25,96.0,0.25
25,51557,119.0,37.771214598433964,-122.42833896267528,3,1.0,2.0,t,104,98.0,1.03
26,54634,115.0,37.791664463998366,-122.42649785318217,2,1.0,1.0,t,38,93.0,0.38
27,55632,110.0,37.77959492929261,-122.48618748703613,4,1.0,1.0,t,10,94.0,0.1
28,55636,116.0,37.748894023606574,-122.44478571052342,4,1.0,1.0,t,26,95.0,0.26
29,56715,187.0,37.788155136094325,-122.41721599062313,4,1.0,2.0,t,81,96.0,0.82
30,57479,200.0,37.7745946756915,-122.43922880779158,5,2.0,2.0,t,152,99.0,1.53
31,57561,175.0,37.7472029202085,-122.41443017005629,2,1.0,1.0,t,212,92.0,2.13
32,66119,95.0,37.77797943313199,-122.47812392128417,2,1.0,0.0,t,96,83.0,1.06
33,66188,216.0,37.777186052227385,-122.50906016719796,6,2.0,3.0,t,12,96.0,0.13
34,68239,326.0,37.75425725549017,-122.42386605698998,2,1.0,1.0,t,35,99.0,0.37
35,69681,185.0,37.77706906926253,-122.50923187258286,4,2.0,3.0,t,7,93.0,0.08
36,70139,108.0,37.74527429273749,-122.42424032456832,3,1.0,1.0,t,10,98.0,0.12
37,71779,80.0,37.77624826509971,-122.46465687469065,2,1.0,1.0,t,2,60.0,0.02
38,72365,100.0,37.775181247967524,-122.43334092158028,8,1.0,1.0,t,64,89.0,0.67
39,72921,95.0,37.77587983423838,-122.43143095984578,6,1.0,1.0,t,49,89.0,0.51
40,73011,270.0,37.77025729875716,-122.41854672356712,2,1.0,1.0,t,30,99.0,0.38
41,74451,120.0,37.773876709923954,-122.43297568688288,4,1.0,0.0,t,17,96.0,0.2
42,83553,85.0,37.774825536612354,-122.5095180808837,2,1.0,0.0,t,6,100.0,0.07
43,91957,201.0,37.76193577248815,-122.4492861428232,6,1.5,2.0,t,95,95.0,1.07
44,99094,185.0,37.768086305165035,-122.42439033142362,4,1.0,2.0,t,12,98.0,0.13
45,100710,450.0,37.75629055903744,-122.42517753276407,5,2.0,3.0,t,10,100.0,0.11
46,102213,165.0,37.801524079564906,-122.41430793244173,2,1.0,1.0,t,107,97.0,1.14
47,106025,130.0,37.785349475972616,-122.41514600966632,2,2.0,2.0,t,59,98.0,0.63
48,117955,250.0,37.775408075445405,-122.4114224310228,8,2.0,2.0,t,82,96.0,1.08
49,121065,200.0,37.77082908551171,-122.4310914820056,2,1.0,1.0,t,36,99.0,0.44
50,122829,75.0,37.773808277791204,-122.42148271904918,2,1.0,1.0,t,70,94.0,0.76
51,126046,150.0,37.7681347587221,-122.44493597270329,5,1.0,3.0,t,80,97.0,0.9
52,128230,328.0,37.75886842493242,-122.4356477818782,3,1.0,1.0,t,137,99.0,1.48
53,130805,97.0,37.75586065788621,-122.42091933940463,2,1.0,1.0,t,64,99.0,0.69
54,138619,150.0,37.79835394401653,-122.40419704528624,3,1.0,1.0,t,52,92.0,0.57
55,138681,500.0,37.7728428945825,-122.39686539739073,6,2.0,3.0,t,2,100.0,0.02
56,147443,230.0,37.745987813468844,-122.4453204670415,4,1.5,2.0,t,107,92.0,1.17
57,148559,275.0,37.76787021889577,-122.43172219789791,6,1.0,2.0,t,19,99.0,0.21
58,148769,115.0,37.75195065585714,-122.4492788119738,2,1.0,1.0,t,87,82.0,1.57
59,150053,600.0,37.78759758847618,-122.39222388419763,6,2.5,3.0,t,12,100.0,0.13
60,150347,179.0,37.76202211098672,-122.41876038242056,4,1.0,2.0,t,116,94.0,1.27
61,162934,149.0,37.77760606429601,-122.50378426358351,2,1.0,1.0,t,204,95.0,2.24
62,166771,185.0,37.76827235107756,-122.44678432093524,4,1.0,1.0,t,150,97.0,1.67
63,175090,110.0,37.79018403099442,-122.40474841078851,2,1.0,0.0,t,24,87.0,0.27
64,175102,135.0,37.790763899804475,-122.40402958480206,2,1.0,0.0,t,49,94.0,0.55
65,177137,135.0,37.79674673909225,-122.40781350807006,4,1.0,2.0,t,60,97.0,0.66
66,183859,220.0,37.73625671585987,-122.436769660021,4,1.0,2.0,t,201,97.0,2.49
67,189894,150.0,37.8031780774682,-122.42977370463731,2,1.0,1.0,t,33,97.0,0.43
68,201579,136.0,37.77755721542998,-122.43326351433011,4,1.5,1.0,t,211,97.0,2.35
69,217106,110.0,37.76468089662926,-122.44523144708471,4,1.0,0.0,t,42,94.0,0.48
70,229319,135.0,37.73818715881532,-122.41566294993788,4,1.0,1.0,t,18,97.0,0.21
71,231752,250.0,37.755647273756225,-122.44021786803921,4,1.0,1.0,t,74,99.0,0.86
72,234781,81.0,37.78282454125839,-122.4464705235138,4,1.0,1.0,t,24,98.0,0.31
73,242008,160.0,37.77498573484536,-122.40634931130349,2,1.0,1.0,t,51,96.0,0.73
74,244361,135.0,37.795322529995055,-122.40862666255622,4,1.0,2.0,t,69,97.0,0.79
75,259919,114.0,37.76470344764796,-122.45368384354009,2,1.0,1.0,t,13,90.0,0.15
76,269463,250.0,37.76710858506811,-122.4515121884875,2,1.0,1.0,t,112,94.0,1.29
77,279184,575.0,37.752904965565634,-122.41552660816635,7,2.0,3.0,t,12,97.0,0.14
78,288213,190.0,37.75971287904621,-122.38833336444763,2,1.0,1.0,f,168,98.0,1.99
79,295240,299.0,37.762674171448104,-122.43919495998337,4,1.0,1.0,t,120,97.0,1.43
