,id,price,latitude,longitude,accommodates,bathrooms,bedrooms,is_location_exact,number_of_reviews,review_scores_rating,reviews_per_month
0,3176,90.0,52.535,13.41758,4,1.0,1.0,t,144,92.0,1.19
1,9991,180.0,52.533030000000004,13.41605,7,2.5,4.0,f,6,100.0,0.13
2,14325,70.0,52.54785,13.405560000000001,1,1.0,0.0,t,23,93.0,0.21
3,16644,90.0,52.50479,13.4351,5,1.0,1.0,t,48,94.0,0.44
4,17904,49.0,52.49548000000001,13.42182,2,1.0,,f,237,96.0,2.11
5,21869,70.0,52.50273000000001,13.43462,4,1.0,1.0,t,60,95.0,0.57
6,22415,98.0,52.49485,13.4285,4,1.0,2.0,t,72,94.0,0.66
7,22677,160.0,52.53435,13.405579999999999,5,1.0,1.0,t,249,95.0,2.38
8,24569,90.0,52.53079,13.418079999999998,4,2.5,2.0,t,18,94.0,0.17
9,25653,90.0,52.53026,13.41947,4,2.5,2.0,t,5,100.0,0.05
10,26543,199.0,52.544059999999995,13.42138,8,2.0,2.0,t,171,92.0,1.61
11,28156,70.0,52.54671999999999,13.405120000000002,1,1.0,0.0,t,30,92.0,0.29
12,29279,65.0,52.54179,13.423879999999999,4,1.0,2.0,f,71,96.0,0.68
13,30295,100.0,52.54597,13.422360000000001,8,1.0,2.0,t,262,95.0,2.48
14,33043,62.0,52.52141999999999,13.357079999999998,4,1.0,1.0,t,165,89.0,1.55
15,38074,80.0,52.5368,13.42547,2,1.0,1.0,t,103,89.0,0.98
16,38296,80.0,52.485859999999995,13.423620000000001,2,1.0,1.0,t,6,87.0,0.06
17,42809,119.0,52.511759999999995,13.45536,4,1.0,2.0,t,121,98.0,1.2
18,43123,98.0,52.53946,13.408829999999998,4,1.0,1.0,f,65,96.0,0.62
19,47938,169.0,52.53219,13.41988,6,2.0,2.0,t,37,100.0,0.35
20,48955,70.0,52.536269999999995,13.420810000000001,2,1.0,1.0,t,0,,
21,52734,88.0,52.51121,13.457279999999999,2,1.0,1.0,t,5,100.0,0.06
22,55853,55.0,52.5034,13.292029999999999,2,1.0,1.0,t,12,95.0,0.16
23,56960,48.0,52.5317,13.43256,2,1.0,1.0,f,54,96.0,0.83
24,57049,220.0,52.547869999999996,13.40417,4,2.0,2.0,t,84,98.0,0.82
25,57209,80.0,52.53683,13.398970000000002,5,1.0,2.0,t,182,92.0,1.79
26,58780,130.0,52.5342,13.42671,4,1.5,2.0,t,36,95.0,0.38
27,59249,98.0,52.540890000000005,13.40945,4,1.0,1.0,t,90,98.0,0.94
28,63468,52.0,52.5036,13.43206,2,1.0,1.0,f,106,83.0,1.28
29,64590,118.0,52.494969999999995,13.42399,4,1.0,2.0,t,34,100.0,0.37
30,68448,84.0,52.5498,13.41596,4,1.0,0.0,t,246,90.0,2.54
31,72079,80.0,52.5078,13.318710000000001,2,1.0,1.0,t,45,96.0,0.61
32,73302,69.0,52.50105,13.350320000000002,2,1.0,1.0,t,223,96.0,2.23
33,81049,155.0,52.521840000000005,13.390670000000002,5,1.0,2.0,t,41,99.0,0.42
34,81081,66.0,52.54968,13.41528,2,1.0,1.0,t,256,98.0,2.61
35,82893,75.0,52.532,13.38285,2,1.0,1.0,t,82,91.0,0.86
36,83183,53.0,52.53677,13.424470000000001,2,1.0,1.0,t,230,94.0,2.43
37,83568,99.0,52.54485,13.41891,3,2.0,1.0,t,11,98.0,1.45
38,83614,186.0,52.54622,13.417860000000001,5,1.5,2.0,t,271,96.0,2.74
39,86090,89.0,52.545840000000005,13.426120000000001,5,1.0,1.0,t,107,97.0,1.11
40,89102,114.0,52.540530000000004,13.40995,4,1.0,1.0,t,59,97.0,0.61
41,91290,60.0,52.49004,13.42619,3,1.0,1.0,t,44,99.0,0.45
42,102882,506.0,52.488780000000006,13.42196,14,2.0,5.0,t,112,94.0,1.16
43,106331,82.0,52.5337,13.4367,4,1.0,1.0,t,91,95.0,0.94
44,111579,170.0,52.5272,13.409529999999998,2,1.0,1.0,t,114,91.0,1.24
45,114763,135.0,52.48805,13.35325,6,1.0,3.0,t,66,99.0,0.85
46,116832,70.0,52.49094,13.396189999999999,3,1.0,2.0,t,3,100.0,0.05
47,117649,68.0,52.500040000000006,13.44265,4,1.0,1.0,t,84,94.0,0.87
48,127708,89.0,52.51965,13.41099,2,1.0,1.0,t,479,96.0,5.23
49,128827,59.0,52.50948,13.46119,3,1.0,1.0,t,17,98.0,0.34
50,135097,108.0,52.500890000000005,13.34692,6,1.0,3.0,t,193,87.0,2.03
51,138955,75.0,52.49097,13.37691,4,,2.0,t,191,95.0,1.99
52,143605,55.0,52.476780000000005,13.424370000000001,4,1.0,1.0,t,56,91.0,0.59
53,147339,50.0,52.48174,13.359470000000002,2,1.0,1.0,t,166,98.0,1.76
54,147564,31.0,52.4952,13.422620000000002,2,1.0,0.0,t,84,96.0,0.88
55,147946,31.0,52.54855,13.408520000000001,2,1.0,1.0,t,39,98.0,0.42
56,147953,30.0,52.488640000000004,13.3604,2,1.0,1.0,t,40,98.0,0.42
57,151249,81.0,52.49678,13.416789999999999,4,1.0,1.0,t,13,84.0,0.29
58,155048,100.0,52.54251,13.43719,2,1.0,2.0,t,4,95.0,0.04
59,156010,36.0,52.51554,13.424470000000001,3,1.0,1.0,t,96,94.0,1.01
60,157546,88.0,52.49545,13.424489999999999,4,1.0,2.0,t,49,93.0,0.53
61,163411,90.0,52.49738000000001,13.436370000000002,6,1.0,2.0,t,20,91.0,0.29
62,168615,49.0,52.58055,13.44539,3,1.0,1.0,t,7,100.0,0.08
63,171746,70.0,52.544109999999996,13.4141,2,1.0,1.0,t,101,94.0,1.84
64,171755,63.0,52.49176,13.3926,2,1.0,1.0,t,9,100.0,0.11
65,173153,80.0,52.53055,13.407020000000001,5,2.0,2.0,t,33,96.0,0.35
66,174547,96.0,52.511,13.41595,3,1.0,2.0,t,31,94.0,0.34
67,174560,75.0,52.51073,13.417910000000001,3,1.0,2.0,t,56,94.0,0.66
68,174576,96.0,52.5094,13.416229999999999,5,1.0,2.0,t,41,93.0,0.46
69,174579,76.0,52.50905,13.415560000000001,3,1.0,2.0,t,81,93.0,0.91
70,175667,46.0,52.49138000000001,13.34331,2,1.0,1.0,t,8,89.0,0.09
71,176342,306.0,52.50363,13.39201,6,2.0,3.0,t,29,95.0,0.44
72,176355,264.0,52.50148000000001,13.391110000000001,6,2.0,2.0,t,19,83.0,0.21
73,176852,50.0,52.493,13.44089,2,1.0,1.0,t,1,80.0,0.02
74,177486,59.0,52.47894,13.327160000000001,3,1.0,1.0,t,48,93.0,0.55
75,178347,75.0,52.48865,13.42896,3,1.0,1.0,t,71,97.0,0.77
76,179102,170.0,52.56868000000001,13.39969,12,1.5,3.0,t,125,96.0,1.4
77,180440,39.0,52.50065,13.301620000000002,1,1.0,1.0,t,19,96.0,0.23
78,183206,64.0,52.52735,13.38986,2,1.0,1.0,t,444,92.0,4.75
79,183988,100.0,52.50103000000001,13.3027,5,1.0,1.0,t,379,94.0,4.23
80,186851,32.0,52.492830000000005,13.348729999999998,2,1.0,1.0,t,51,93.0,0.6
81,187326,59.0,52.44409,13.29434,2,1.0,1.0,t,68,98.0,1.01
82,188922,45.0,52.53049,13.414710000000001,3,1.0,1.0,t,14,86.0,0.15
83,192050,50.0,52.57241,13.421870000000002,5,1.0,2.0,t,25,98.0,0.28
84,194546,75.0,52.506040000000006,13.417929999999998,4,1.0,1.0,t,107,90.0,1.24
85,196149,74.0,52.530919999999995,13.403570000000002,4,1.0,2.0,t,336,88.0,4.57
86,196285,50.0,52.4969,13.42348,2,1.0,0.0,t,92,95.0,0.99
87,197291,170.0,52.580890000000004,13.44377,3,1.0,1.0,t,39,96.0,0.42
88,201224,88.0,52.50448000000001,13.359029999999999,2,1.0,1.0,t,204,95.0,2.32
89,204617,50.0,52.50516999999999,13.29466,2,1.0,1.0,t,6,100.0,0.23
90,205296,100.0,52.41235,13.50031,4,1.0,2.0,t,0,,
91,206454,70.0,52.532030000000006,13.400970000000001,2,1.0,1.0,t,27,99.0,0.31
92,207740,195.0,52.50042,13.43578,5,2.0,3.0,t,9,100.0,0.42
93,208495,150.0,52.51275,13.463579999999999,2,1.0,1.0,f,0,,
94,209233,90.0,52.49912,13.351020000000002,3,1.0,2.0,t,2,80.0,0.05
95,210734,165.0,52.522980000000004,13.33416,5,1.0,1.0,t,276,95.0,2.96
96,220445,60.0,52.5247,13.299560000000001,2,1.0,1.0,t,18,93.0,0.25
97,221015,86.0,52.54063000000001,13.35147,4,1.0,2.0,t,445,96.0,4.8
98,222784,69.0,52.5298,13.340370000000002,2,1.0,1.0,t,195,94.0,2.16
